"","PassengerId","Pclass","Age","SibSp","Parch","Ticket","Fare","Embarked","Family_Size","Title","Title_Mr","Deck","Side","Fare_Per_Person","Gender","AgeClass","AgeGenderClass","Protocole","Survived"
"1",892,3,34.5,0,0,330911,7.8292,1,0,5,3,-1,0,7.8292,2,103.5,207,0,0
"2",893,3,47,1,0,363272,7,2,2,4,4,-1,0,2.33333333333333,1,141,141,0,0
"3",894,2,62,0,0,240276,9.6875,1,0,5,3,-1,0,9.6875,2,124,248,0,0
"4",895,3,27,0,0,315154,8.6625,2,0,5,3,-1,0,8.6625,2,81,162,0,0
"5",896,3,22,1,1,3101298,12.2875,2,2,4,4,-1,0,4.09583333333333,1,66,66,0,0
"6",897,3,14,0,0,7538,9.225,2,0,5,3,-1,0,9.225,2,42,84,0,0
"7",898,3,30,0,0,330972,7.6292,1,0,2,2,-1,0,7.6292,1,90,90,0,1
"8",899,2,26,1,1,248738,29,2,2,5,3,-1,0,9.66666666666667,2,52,104,0,0
"9",900,3,18,0,0,2657,7.2292,0,0,4,4,-1,0,7.2292,1,54,54,0,1
"10",901,3,21,2,0,48871,24.15,2,4,5,3,-1,0,4.83,2,63,126,0,0
"11",902,3,28.3189102564103,0,0,349220,7.8958,2,0,5,3,-1,0,7.8958,2,84.9567307692308,169.913461538462,0,0
"12",903,1,46,0,0,694,26,2,0,5,3,-1,0,26,2,46,92,0,0
"13",904,1,23,1,0,21228,82.2667,2,4,4,4,2,-1,16.45334,1,23,23,1,1
"14",905,2,63,1,0,24065,26,2,4,5,3,-1,0,5.2,2,126,252,0,0
"15",906,1,47,1,0,5734,61.175,2,2,4,4,5,-1,20.3916666666667,1,47,47,1,1
"16",907,2,24,1,0,2167,27.7208,0,2,4,4,-1,0,9.24026666666667,1,48,48,1,1
"17",908,2,35,0,0,233734,12.35,1,0,5,3,-1,0,12.35,2,70,140,0,0
"18",909,3,21,0,0,2692,7.225,0,0,5,3,-1,0,7.225,2,63,126,0,0
"19",910,3,27,1,0,3101270,7.925,2,2,2,2,-1,0,2.64166666666667,1,81,81,0,0
"20",911,3,45,0,0,2696,7.225,0,0,4,4,-1,0,7.225,1,135,135,0,0
"21",912,1,55,1,0,17603,59.4,0,2,5,3,-1,0,19.8,2,55,110,0,0
"22",913,3,9,0,1,17368,3.1708,2,2,1,1,-1,0,1.05693333333333,2,27,54,0,0
"23",914,1,42.7894736842105,0,0,17598,31.6833,2,0,4,4,-1,0,31.6833,1,42.7894736842105,42.7894736842105,1,1
"24",915,1,21,0,1,17597,61.3792,0,2,5,3,-1,0,20.4597333333333,2,21,42,0,1
"25",916,1,48,1,3,17608,262.375,0,6,4,4,2,1,37.4821428571429,1,48,48,1,1
"26",917,3,50,1,0,3337,14.5,2,2,5,3,-1,0,4.83333333333333,2,150,300,0,0
"27",918,1,22,0,1,113509,61.9792,0,2,2,2,2,1,20.6597333333333,1,22,22,1,1
"28",919,3,22.5,0,0,2698,7.225,0,0,5,3,-1,0,7.225,2,67.5,135,0,0
"29",920,1,41,0,0,113054,30.5,2,0,5,3,1,-1,30.5,2,41,82,0,0
"30",921,3,28.3189102564103,2,0,2662,21.6792,0,4,5,3,-1,0,4.33584,2,84.9567307692308,169.913461538462,0,0
"31",922,2,50,1,0,3085,26,2,2,5,3,-1,0,8.66666666666667,2,100,200,0,0
