PassengerId,Pclass,Age,SibSp,Parch,Ticket,Fare,Embarked,Family_Size,Title,Title_Mr,Deck,Side,Fare_Per_Person,Gender,AgeClass,AgeGenderClass,Protocole
892,3,34.5,0,0,330911,7.8292,1,0,5,3,-1,0,7.8292,2,103.5,207.0,0
893,3,47.0,1,0,363272,7.0,2,2,4,4,-1,0,2.3333333333333335,1,141.0,141.0,0
894,2,62.0,0,0,240276,9.6875,1,0,5,3,-1,0,9.6875,2,124.0,248.0,0
895,3,27.0,0,0,315154,8.6625,2,0,5,3,-1,0,8.6625,2,81.0,162.0,0
896,3,22.0,1,1,3101298,12.2875,2,2,4,4,-1,0,4.095833333333333,1,66.0,66.0,0
897,3,14.0,0,0,7538,9.225,2,0,5,3,-1,0,9.225,2,42.0,84.0,0
898,3,30.0,0,0,330972,7.6292,1,0,2,2,-1,0,7.6292,1,90.0,90.0,0
899,2,26.0,1,1,248738,29.0,2,2,5,3,-1,0,9.666666666666666,2,52.0,104.0,0
900,3,18.0,0,0,2657,7.2292,0,0,4,4,-1,0,7.2292,1,54.0,54.0,0
901,3,21.0,2,0,48871,24.15,2,4,5,3,-1,0,4.83,2,63.0,126.0,0
902,3,28.318910256410255,0,0,349220,7.8958,2,0,5,3,-1,0,7.8958,2,84.95673076923077,169.91346153846155,0
903,1,46.0,0,0,694,26.0,2,0,5,3,-1,0,26.0,2,46.0,92.0,0
904,1,23.0,1,0,21228,82.2667,2,4,4,4,2,-1,16.45334,1,23.0,23.0,1
905,2,63.0,1,0,24065,26.0,2,4,5,3,-1,0,5.2,2,126.0,252.0,0
906,1,47.0,1,0,5734,61.175,2,2,4,4,5,-1,20.391666666666666,1,47.0,47.0,1
907,2,24.0,1,0,2167,27.7208,0,2,4,4,-1,0,9.240266666666667,1,48.0,48.0,1
908,2,35.0,0,0,233734,12.35,1,0,5,3,-1,0,12.35,2,70.0,140.0,0
909,3,21.0,0,0,2692,7.225,0,0,5,3,-1,0,7.225,2,63.0,126.0,0
910,3,27.0,1,0,3101270,7.925,2,2,2,2,-1,0,2.6416666666666666,1,81.0,81.0,0
911,3,45.0,0,0,2696,7.225,0,0,4,4,-1,0,7.225,1,135.0,135.0,0
912,1,55.0,1,0,17603,59.4,0,2,5,3,-1,0,19.8,2,55.0,110.0,0
913,3,9.0,0,1,17368,3.1708,2,2,1,1,-1,0,1.0569333333333333,2,27.0,54.0,0
914,1,42.78947368421053,0,0,17598,31.6833,2,0,4,4,-1,0,31.6833,1,42.78947368421053,42.78947368421053,1
